gene_name	gene_id	mondo_disease_id	mondo_ancestor_id	opentargets_label	rna.value
NARS1	ENSG00000134440	MONDO_0030837	MONDO_0005071	brain	11559.5
KDM5C	ENSG00000126012	MONDO_0020119	MONDO_0005071	brain	11468.0
CNOT1	ENSG00000125107	MONDO_0032787	MONDO_0005151	endocrine gland	11437.0
NDUFS7	ENSG00000115286	MONDO_0009723	MONDO_0005071	brain	11403.0
CLCN4	ENSG00000073464	MONDO_0019181	MONDO_0005071	brain	11326.0
KCNB1	ENSG00000158445	MONDO_0100038	MONDO_0005071	brain	11297.0
SDHA	ENSG00000073578	MONDO_0017366	MONDO_0005151	endocrine gland	11275.5
PAX6	ENSG00000007372	MONDO_0800183	MONDO_0005071	brain	11264.0
LMBRD1	ENSG00000168216	MONDO_0010183	MONDO_0005570	blood	11262.5
MYLK2	ENSG00000101306	MONDO_0005045	MONDO_0002081	musculature	11098.0
SOS1	ENSG00000115904	MONDO_0018997	MONDO_0005046	immune organ	11087.0
SOS1	ENSG00000115904	MONDO_0009026	MONDO_0002081	skeletal element	11087.0
SOS1	ENSG00000115904	MONDO_0015280	MONDO_0002081	skeletal element	11087.0
SELENON	ENSG00000162430	MONDO_0100100	MONDO_0002081	musculature	11031.0
ATP6AP2	ENSG00000182220	MONDO_0100146	MONDO_0005071	brain	10941.5
ABHD12	ENSG00000100997	MONDO_0012984	MONDO_0005071	brain	10902.0
TAOK1	ENSG00000160551	MONDO_0000508	MONDO_0005071	brain	10896.0
GRIA2	ENSG00000120251	MONDO_0030060	MONDO_0005071	brain	10881.0
LRP12	ENSG00000147650	MONDO_0020793	MONDO_0002081	skeletal element	10873.0
CDH1	ENSG00000039068	MONDO_0016248	MONDO_0005039	reproductive structure	10829.0
LARGE1	ENSG00000133424	MONDO_0018276	MONDO_0005071	brain	10823.0
PHYH	ENSG00000107537	MONDO_0100258	MONDO_0005066	endocrine gland	10789.0
USP7	ENSG00000187555	MONDO_0014805	MONDO_0005071	brain	10769.5
FOXG1	ENSG00000176165	MONDO_0100040	MONDO_0005071	brain	10759.0
